Wall time,Step,Value
1533126112.0993717,0,0.0
1533126131.1320455,1,0.0
1533126150.0410988,2,0.0
1533126168.881942,3,0.0
1533126187.904828,4,0.1388999968767166
1533126206.7732747,5,0.1460999995470047
1533126225.8749433,6,0.15219999849796295
1533126244.8852303,7,0.3596000075340271
1533126263.7924638,8,0.2992999851703644
1533126282.905092,9,0.35749998688697815
1533126302.0862117,10,0.48420000076293945
1533126321.2076929,11,0.45969998836517334
1533126340.265542,12,0.5332000255584717
1533126359.266985,13,0.5598000288009644
1533126378.3100827,14,0.46779999136924744
1533126397.2556872,15,0.5424000024795532
1533126416.141892,16,0.5781000256538391
1533126435.3379555,17,0.5209000110626221
1533126454.5080636,18,0.54339998960495
1533126474.1419778,19,0.6373999714851379
1533126493.1577377,20,0.557699978351593
1533126512.241834,21,0.5209000110626221
1533126531.4218411,22,0.54339998960495
1533126550.4858692,23,0.6158999800682068
1533126569.5498748,24,0.5372999906539917
1533126588.5499988,25,0.5281000137329102
1533126607.8500433,26,0.6312999725341797
1533126626.8507164,27,0.6272000074386597
1533126645.876723,28,0.5996000170707703
1533126665.1594894,29,0.600600004196167
1533126684.0381627,30,0.6036999821662903
1533126703.1184583,31,0.6342999935150146
1533126722.4410732,32,0.6190000176429749
1533126741.4817715,33,0.6148999929428101
1533126760.5048208,34,0.654699981212616
1533126779.5267043,35,0.590399980545044
1533126798.73818,36,0.6700999736785889
1533126817.8963816,37,0.5842999815940857
1533126836.8984804,38,0.6557999849319458
1533126856.0280325,39,0.6078000068664551
1533126875.2966404,40,0.6139000058174133
1533126894.3131247,41,0.6527000069618225
1533126913.2894354,42,0.6190000176429749
1533126932.3190017,43,0.6394000053405762
1533126951.6366048,44,0.6485999822616577
1533126970.5715406,45,0.6251000165939331
1533126989.633897,46,0.6496000289916992
1533127008.7993505,47,0.6342999935150146
1533127027.813329,48,0.6599000096321106
1533127047.0185401,49,0.6148999929428101
1533127065.867915,50,0.5751000046730042
1533127084.866496,51,0.6639000177383423
1533127103.894816,52,0.6639000177383423
1533127123.0577831,53,0.6506999731063843
1533127142.2320075,54,0.6403999924659729
1533127161.2212121,55,0.6660000085830688
1533127180.3754995,56,0.6669999957084656
1533127199.3125844,57,0.6700999736785889
1533127218.369624,58,0.6403999924659729
1533127237.4238882,59,0.7027999758720398
1533127256.5348415,60,0.6139000058174133
1533127275.5503857,61,0.5812000036239624
1533127294.491474,62,0.6854000091552734
1533127313.5347981,63,0.6660000085830688
1533127332.7859042,64,0.6741999983787537
1533127351.8351336,65,0.6650000214576721
1533127370.9018672,66,0.647599995136261
1533127389.8821783,67,0.6312999725341797
1533127409.0858805,68,0.6496000289916992
1533127428.0192556,69,0.6588000059127808
1533127447.0979779,70,0.6485999822616577
1533127466.19287,71,0.6721000075340271
1533127485.2238336,72,0.647599995136261
1533127504.535515,73,0.6567999720573425
1533127523.7375195,74,0.6394000053405762
1533127542.8247285,75,0.6496000289916992
1533127561.7651193,76,0.6599000096321106
1533127581.019456,77,0.6690999865531921
1533127600.2390115,78,0.6352999806404114
1533127619.462541,79,0.6241000294685364
1533127638.4539537,80,0.6230999827384949
1533127657.548799,81,0.593500018119812
1533127676.3343687,82,0.6434999704360962
1533127695.5163643,83,0.6394000053405762
1533127714.7064714,84,0.6373999714851379
1533127733.5773582,85,0.6342999935150146
1533127752.63077,86,0.6557999849319458
1533127771.7579374,87,0.6711000204086304
1533127790.9688854,88,0.6323000192642212
1533127809.9513264,89,0.6333000063896179
1533127829.1110597,90,0.6650000214576721
1533127848.1021314,91,0.6588000059127808
1533127867.028919,92,0.6241000294685364
1533127886.0390522,93,0.6588000059127808
1533127904.979066,94,0.6291999816894531
1533127924.0776072,95,0.6527000069618225
1533127943.0689967,96,0.6496000289916992
1533127962.1554244,97,0.6812999844551086
1533127981.355708,98,0.6506999731063843
1533128000.2355716,99,0.6506999731063843
1533128019.0626411,100,0.6015999913215637
1533128038.1310277,101,0.6466000080108643
