Wall time,Step,Value
1533287074.0761175,0,0.0
1533287092.9232438,1,0.0
1533287111.830521,2,0.0
1533287130.7361355,3,0.05590000003576279
1533287149.69529,4,0.2045000046491623
1533287168.7406185,5,0.4090000092983246
1533287187.8408883,6,0.45989999175071716
1533287206.7967966,7,0.5005000233650208
1533287225.7871675,8,0.48539999127388
1533287245.0415416,9,0.38179999589920044
1533287264.0811803,10,0.5512999892234802
1533287283.104081,11,0.5074999928474426
1533287302.2184148,12,0.5748999714851379
1533287321.3397512,13,0.5863000154495239
1533287340.365368,14,0.5781000256538391
1533287359.355028,15,0.6139000058174133
1533287378.5482528,16,0.5645999908447266
1533287397.72306,17,0.6049000024795532
1533287416.8212292,18,0.626800000667572
1533287436.0656962,19,0.6427000164985657
1533287455.0534575,20,0.625
1533287474.024632,21,0.625
1533287493.3351798,22,0.6348999738693237
1533287512.5030606,23,0.6128000020980835
1533287531.611305,24,0.6504999995231628
1533287551.1377783,25,0.620199978351593
1533287570.438759,26,0.6532999873161316
1533287589.778592,27,0.678600013256073
1533287609.216724,28,0.652899980545044
1533287628.1626723,29,0.6535000205039978
1533287647.6001651,30,0.6830999851226807
1533287666.7170136,31,0.6791999936103821
1533287686.156398,32,0.6679999828338623
1533287705.365953,33,0.6705999970436096
1533287724.7399793,34,0.6922000050544739
1533287744.0958085,35,0.6790000200271606
1533287763.1808417,36,0.6680999994277954
1533287782.5318797,37,0.6694999933242798
1533287801.7239175,38,0.6775000095367432
1533287821.0849798,39,0.682200014591217
1533287840.3194292,40,0.6880000233650208
1533287859.5867627,41,0.6626999974250793
1533287879.011091,42,0.661899983882904
1533287898.2925792,43,0.6894999742507935
1533287917.4175963,44,0.692300021648407
1533287936.918751,45,0.6703000068664551
1533287956.1801794,46,0.6604999899864197
1533287975.3644106,47,0.6780999898910522
1533287994.708162,48,0.6995999813079834
1533288013.9686875,49,0.6890000104904175
1533288033.4126275,50,0.6769000291824341
1533288052.5135667,51,0.6902999877929688
1533288071.6480908,52,0.695900022983551
1533288090.757332,53,0.6741999983787537
1533288109.9876869,54,0.675000011920929
1533288129.3187175,55,0.6866999864578247
1533288148.6462703,56,0.6848999857902527
1533288167.7877154,57,0.6844000220298767
1533288187.0247362,58,0.6797999739646912
1533288206.2488325,59,0.6880000233650208
1533288225.428863,60,0.6687999963760376
1533288244.779694,61,0.6812000274658203
1533288263.9973102,62,0.6916000247001648
1533288283.1008656,63,0.6751999855041504
1533288302.446299,64,0.6804999709129333
1533288321.6962821,65,0.6819000244140625
1533288340.8618312,66,0.6938999891281128
1533288360.1149411,67,0.6639000177383423
1533288379.4271848,68,0.6881999969482422
1533288398.6056664,69,0.7020000219345093
1533288417.8572311,70,0.6996999979019165
1533288437.0248141,71,0.6931999921798706
1533288456.4927335,72,0.6851000189781189
1533288475.9823635,73,0.6919999718666077
1533288495.115339,74,0.6840999722480774
1533288514.3522243,75,0.6869000196456909
1533288533.60282,76,0.6869000196456909
1533288552.9534013,77,0.6919000148773193
1533288572.0427122,78,0.6983000040054321
1533288591.2468545,79,0.6876000165939331
1533288610.350321,80,0.6823999881744385
1533288629.6730993,81,0.6894999742507935
1533288648.9136949,82,0.6786999702453613
1533288668.160959,83,0.6535999774932861
1533288687.5557516,84,0.6740000247955322
1533288706.515875,85,0.6876999735832214
1533288725.7815995,86,0.6873000264167786
1533288745.0028427,87,0.6866999864578247
1533288764.3132665,88,0.6937000155448914
1533288783.529434,89,0.6850000023841858
1533288802.940902,90,0.6845999956130981
1533288822.1578128,91,0.6923999786376953
1533288841.4556956,92,0.7120000123977661
1533288860.9461894,93,0.6901999711990356
1533288880.195982,94,0.6758999824523926
1533288899.4391012,95,0.6880999803543091
1533288918.6944554,96,0.6718999743461609
1533288937.9431472,97,0.6726999878883362
1533288957.37642,98,0.6615999937057495
1533288976.4767065,99,0.6812999844551086
1533288995.7752838,100,0.6779000163078308
1533289015.2564714,101,0.6786999702453613
1533289034.47396,102,0.6845999956130981
1533289053.4601982,103,0.6765000224113464
1533289072.6558397,104,0.6791999936103821
1533289091.882155,105,0.6880000233650208
1533289111.0849006,106,0.6761000156402588
1533289130.5852387,107,0.6543999910354614
1533289149.8406126,108,0.6948000192642212
1533289169.1680996,109,0.6945000290870667
1533289188.3271108,110,0.6992999911308289
1533289207.684763,111,0.6917999982833862
1533289226.7777634,112,0.6852999925613403
1533289246.1720974,113,0.666700005531311
1533289265.4361677,114,0.6887999773025513
1533289284.8582149,115,0.7003999948501587
1533289304.175461,116,0.6841999888420105
1533289323.6452098,117,0.6894999742507935
1533289342.9277942,118,0.6862000226974487
1533289362.2835147,119,0.7027999758720398
1533289381.5009058,120,0.6805999875068665
1533289400.695592,121,0.6585999727249146
1533289420.153156,122,0.6967999935150146
1533289439.2989516,123,0.694599986076355
1533289458.6980128,124,0.6879000067710876
1533289477.7123528,125,0.6883000135421753
1533289497.2623188,126,0.6628999710083008
1533289516.4506319,127,0.6934999823570251
1533289535.6939857,128,0.6934999823570251
1533289555.089154,129,0.6741999983787537
1533289574.2626894,130,0.6861000061035156
1533289593.556598,131,0.7009999752044678
1533289612.6641152,132,0.6933000087738037
1533289632.0583198,133,0.6923999786376953
1533289651.352743,134,0.6984000205993652
1533289670.8396983,135,0.698199987411499
1533289690.287987,136,0.697700023651123
1533289709.8072832,137,0.6952000260353088
1533289729.052503,138,0.694100022315979
1533289748.3655322,139,0.6984000205993652
1533289767.6921499,140,0.6913999915122986
1533289787.0536475,141,0.6902999877929688
1533289806.4239664,142,0.6995999813079834
1533289825.8096783,143,0.6956999897956848
1533289845.0547237,144,0.6783999800682068
1533289864.251309,145,0.6776999831199646
1533289883.7332354,146,0.6938999891281128
1533289903.0653713,147,0.6751999855041504
1533289922.416351,148,0.6863999962806702
1533289941.540559,149,0.6894999742507935
1533289960.864943,150,0.6847000122070312
1533289980.0809906,151,0.6585000157356262
1533289999.69186,152,0.6812999844551086
1533290019.0250773,153,0.6862999796867371
1533290038.3600278,154,0.6962000131607056
1533290057.5252225,155,0.6865000128746033
1533290076.9141083,156,0.6818000078201294
1533290096.1344972,157,0.6776000261306763
1533290115.530188,158,0.6837000250816345
1533290134.998033,159,0.6722000241279602
1533290154.3358843,160,0.6744999885559082
1533290173.6339679,161,0.6880000233650208
1533290192.9645677,162,0.6938999891281128
1533290212.088222,163,0.6966999769210815
1533290231.2793374,164,0.6741999983787537
1533290250.5703979,165,0.6819999814033508
1533290269.8194988,166,0.6834999918937683
1533290289.247975,167,0.689300000667572
1533290308.8510895,168,0.6812000274658203
1533290328.192993,169,0.6861000061035156
1533290347.405925,170,0.6730999946594238
1533290366.7526963,171,0.677299976348877
1533290386.196986,172,0.6938999891281128
1533290405.752118,173,0.6794999837875366
1533290424.900534,174,0.6840999722480774
1533290444.1317735,175,0.6852999925613403
1533290463.3968148,176,0.6908000111579895
1533290483.0921056,177,0.6680999994277954
1533290502.3285844,178,0.6852999925613403
1533290521.6898186,179,0.6880999803543091
1533290541.0656452,180,0.6837999820709229
1533290560.2504737,181,0.6883999705314636
1533290579.40444,182,0.6525999903678894
1533290598.771991,183,0.6812999844551086
1533290618.2714922,184,0.692300021648407
1533290637.679553,185,0.6880000233650208
1533290657.1088343,186,0.679099977016449
1533290676.6483335,187,0.6685000061988831
1533290695.7485123,188,0.6855000257492065
1533290714.9762764,189,0.6822999715805054
1533290734.0326765,190,0.6873999834060669
1533290753.4085395,191,0.6995999813079834
1533290772.699559,192,0.6840000152587891
1533290791.8572464,193,0.7026000022888184
1533290811.1393428,194,0.6952999830245972
1533290830.39099,195,0.6926000118255615
1533290849.5894787,196,0.6866000294685364
1533290868.943972,197,0.6888999938964844
1533290888.1364753,198,0.6970999836921692
1533290907.3750587,199,0.6881999969482422
